X,Y,orientation,timestamp
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:20.850
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:20.944
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.042
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.138
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.258
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.344
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.442
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.545
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.645
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.740
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.848
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:21.939
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.044
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.138
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.246
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.341
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.461
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.544
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.669
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.788
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.871
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:22.958
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:23.077
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:23.184
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:23.261
56.711830139160156,112.31034851074219,-179.24465942382812,2019/08/20 07:57:23.349
56.7088623046875,112.31031036376953,-179.1872100830078,2019/08/20 07:57:23.447
56.69869613647461,112.31011199951172,-178.74246215820312,2019/08/20 07:57:23.538
56.68994140625,112.30995178222656,-179.25473022460938,2019/08/20 07:57:23.658
56.68135452270508,112.30986022949219,-179.33209228515625,2019/08/20 07:57:23.737
56.67257308959961,112.30973815917969,-179.172119140625,2019/08/20 07:57:23.847
56.6639404296875,112.30963134765625,-179.39451599121094,2019/08/20 07:57:23.944
56.655208587646484,112.30956268310547,-179.7226104736328,2019/08/20 07:57:24.050
56.6463737487793,112.30956268310547,179.63223266601562,2019/08/20 07:57:24.139
56.63566207885742,112.30960845947266,-179.5925750732422,2019/08/20 07:57:24.244
56.62923049926758,112.30953979492188,-179.36074829101562,2019/08/20 07:57:24.339
56.620079040527344,112.30945587158203,-179.6546630859375,2019/08/20 07:57:24.443
56.61604690551758,112.3094253540039,-179.49510192871094,2019/08/20 07:57:24.540
56.61549758911133,112.30498504638672,-179.38670349121094,2019/08/20 07:57:24.646
56.615692138671875,112.29833984375,-179.42613220214844,2019/08/20 07:57:24.739
56.614383697509766,112.29832458496094,-179.36277770996094,2019/08/20 07:57:24.856
56.614036560058594,112.29832458496094,-179.38623046875,2019/08/20 07:57:24.942
56.614009857177734,112.29832458496094,-179.38050842285156,2019/08/20 07:57:25.047
56.614009857177734,112.29832458496094,-179.38050842285156,2019/08/20 07:57:25.144
56.61289978027344,112.29830932617188,-179.37245178222656,2019/08/20 07:57:25.243
56.6059455871582,112.2982177734375,-179.1085662841797,2019/08/20 07:57:25.357
56.59699249267578,112.29808044433594,-179.24423217773438,2019/08/20 07:57:25.441
56.58821105957031,112.29798889160156,-179.45010375976562,2019/08/20 07:57:25.549
56.579750061035156,112.29790496826172,-179.43089294433594,2019/08/20 07:57:25.642
56.56888961791992,112.29780578613281,-179.49380493164062,2019/08/20 07:57:25.757
56.56032943725586,112.2977294921875,-179.47532653808594,2019/08/20 07:57:25.842
56.55162048339844,112.29764556884766,-179.4437255859375,2019/08/20 07:57:25.953
56.54296112060547,112.29756164550781,-179.43055725097656,2019/08/20 07:57:26.042
56.534305572509766,112.29747772216797,-179.46099853515625,2019/08/20 07:57:26.140
56.52613830566406,112.29740142822266,-179.45834350585938,2019/08/20 07:57:26.243
56.5202522277832,112.2973403930664,-179.3726043701172,2019/08/20 07:57:26.351
56.516639709472656,112.29730224609375,-179.36073303222656,2019/08/20 07:57:26.441
56.51493453979492,112.29728698730469,-179.390625,2019/08/20 07:57:26.552
56.51320266723633,112.2972640991211,-179.35025024414062,2019/08/20 07:57:26.676
56.512210845947266,112.29725646972656,-179.31051635742188,2019/08/20 07:57:26.759
56.512210845947266,112.29725646972656,-179.31051635742188,2019/08/20 07:57:26.857
56.512210845947266,112.29725646972656,-179.35105895996094,2019/08/20 07:57:26.953
56.51213836669922,112.29725646972656,-179.3388671875,2019/08/20 07:57:27.040
56.5071907043457,112.29719543457031,-179.20248413085938,2019/08/20 07:57:27.154
56.49858093261719,112.29705810546875,-179.18368530273438,2019/08/20 07:57:27.239
56.48752212524414,112.29693603515625,-179.40736389160156,2019/08/20 07:57:27.347
56.47903823852539,112.29683685302734,-179.2990264892578,2019/08/20 07:57:27.437
56.47047805786133,112.29673767089844,-179.38449096679688,2019/08/20 07:57:27.551
56.46181869506836,112.29664611816406,-179.34967041015625,2019/08/20 07:57:27.641
